Date,Exercise,Category,Weight (lbs),Reps,Distance,Distance Unit,Time
2016-05-05,Deadlift,Back,60.1,10,,,
2016-05-05,Deadlift,Back,80.0,5,,,
2016-05-05,Deadlift,Back,100.0,3,,,
2016-05-05,Deadlift,Back,110.0,9,,,
2016-05-05,Lat Pulldown,Back,85.0,8,,,
2016-05-05,Lat Pulldown,Back,85.0,12,,,
2016-05-05,Lat Pulldown,Back,85.0,9,,,
2016-05-05,Seated Cable Row,Back,85.0,12,,,
2016-05-05,Seated Cable Row,Back,85.0,10,,,
2016-05-05,Seated Cable Row,Back,85.0,11,,,
2016-05-05,Cable Face Pull,Shoulders,30.0,20,,,
2016-05-05,Cable Face Pull,Shoulders,30.0,20,,,
2016-05-05,Cable Face Pull,Shoulders,30.0,16,,,
2016-05-05,Cable Face Pull,Shoulders,30.0,17,,,
2016-05-05,Cable Face Pull,Shoulders,30.0,15,,,
2016-05-05,Dumbbell Hammer Curl,Biceps,15.0,12,,,
2016-05-05,Dumbbell Hammer Curl,Biceps,15.0,12,,,
2016-05-05,Dumbbell Hammer Curl,Biceps,15.0,12,,,
2016-05-05,Dumbbell Hammer Curl,Biceps,15.0,12,,,
2016-05-05,Barbell Curl,Biceps,40.0,8,,,
2016-05-05,Barbell Curl,Biceps,30.0,10,,,
2016-05-05,Barbell Curl,Biceps,30.0,9,,,
2016-05-05,Barbell Curl,Biceps,30.0,8,,,
2016-05-05,Crunch,Abs,0.0,40,,,
2016-05-05,Crunch,Abs,0.0,40,,,
2016-05-05,Crunch,Abs,0.0,40,,,
2016-05-05,Six Inches,Abs,0.0,20,,,
2016-05-05,Flutter Kicks,Abs,0.0,20,,,
2016-05-05,Flutter Kicks,Abs,0.0,20,,,
2016-05-05,Flutter Kicks,Abs,0.0,20,,,
2016-05-05,Leg Raises,Abs,0.0,20,,,
2016-05-05,Leg Raises,Abs,0.0,20,,,
2016-05-05,Leg Raises,Abs,0.0,20,,,
2016-05-05,Bicycle Kicks,Abs,0.0,20,,,
2016-05-05,Bicycle Kicks,Abs,0.0,20,,,
2016-05-05,Bicycle Kicks,Abs,0.0,20,,,
2016-05-05,Crunch Kicks,Abs,0.0,20,,,
2016-05-05,Crunch Kicks,Abs,0.0,20,,,
2016-05-05,Six Inches,Abs,0.0,20,,,
2016-05-05,Six Inches,Abs,0.0,20,,,
2016-05-05,Crunch Kicks,Abs,0.0,20,,,
2016-05-06,Flat Barbell Bench Press,Chest,45.0,10,,,
2016-05-06,Flat Barbell Bench Press,Chest,75.0,8,,,
2016-05-06,Flat Barbell Bench Press,Chest,95.0,5,,,
2016-05-06,Flat Barbell Bench Press,Chest,95.0,5,,,
2016-05-06,Flat Barbell Bench Press,Chest,95.0,5,,,
2016-05-06,Flat Barbell Bench Press,Chest,95.0,5,,,
2016-05-06,Flat Barbell Bench Press,Chest,95.0,10,,,
2016-05-06,Overhead Press,Shoulders,55.0,10,,,
2016-05-06,Overhead Press,Shoulders,55.0,8,,,
2016-05-06,Overhead Press,Shoulders,55.0,9,,,
2016-05-06,Incline Dumbbell Bench Press,Chest,30.0,8,,,
2016-05-06,Incline Dumbbell Bench Press,Chest,30.0,8,,,
2016-05-06,Incline Dumbbell Bench Press,Chest,30.0,8,,,
2016-05-06,Rope Push Down,Triceps,25.0,12,,,
2016-05-06,Rope Push Down,Triceps,25.0,12,,,
2016-05-06,Rope Push Down,Triceps,25.0,12,,,
2016-05-06,Lateral Dumbbell Raise,Shoulders,5.0,20,,,
2016-05-06,Lateral Dumbbell Raise,Shoulders,5.0,20,,,
2016-05-06,Lateral Dumbbell Raise,Shoulders,5.0,17,,,
2016-05-06,Lateral Dumbbell Raise,Shoulders,5.0,18,,,
2016-05-06,Lateral Dumbbell Raise,Shoulders,5.0,20,,,
2016-05-06,Lateral Dumbbell Raise,Shoulders,5.0,20,,,
2016-05-06,EZ-Bar Skullcrusher,Triceps,30.0,8,,,
2016-05-06,EZ-Bar Skullcrusher,Triceps,20.0,12,,,
2016-05-06,EZ-Bar Skullcrusher,Triceps,20.0,12,,,
2016-05-06,Plank,Abs,0.0,20,,,
2016-05-06,Plank,Abs,0.0,20,,,
2016-05-06,Plank,Abs,0.0,20,,,
2016-05-06,Plank Arm Raises,Abs,0.0,20,,,
2016-05-06,Plank Arm Raises,Abs,0.0,20,,,
2016-05-06,Plank Arm Raises,Abs,0.0,20,,,
2016-05-06,Plank Leg Raises,Abs,0.0,20,,,
2016-05-06,Plank Leg Raises,Abs,0.0,20,,,
2016-05-06,Plank Leg Raises,Abs,0.0,20,,,
2016-05-06,Side Plank,Abs,0.0,20,,,
2016-05-06,Side Plank,Abs,0.0,20,,,
2016-05-06,Side Plank,Abs,0.0,20,,,
2016-05-06,Plank With Rotation,Abs,0.0,20,,,
2016-05-06,Plank With Rotation,Abs,0.0,20,,,
2016-05-06,Plank With Rotation,Abs,0.0,20,,,
2016-05-06,Elbow Plank,Abs,0.0,20,,,
2016-05-06,Elbow Plank,Abs,0.0,20,,,
2016-05-06,Elbow Plank,Abs,0.0,20,,,
2016-05-07,Barbell Squat,Legs,45.0,10,,,
2016-05-07,Barbell Squat,Legs,95.0,5,,,
